Zone,State,City,Name,location_type,establishment_year,visit_duration_hours,google_rating,entrance_fee,airport_within_city,weekly _off,Significance,dslr_allowed,review_count ,best_time_to_visit
Central,Uttar Pradesh,Porbandar,Kirti Mandir,Memorial,1950,1,4.8,0,TRUE,,Historical,TRUE,0.03,Morning
Central,Uttar Pradesh,Mathura,Nand Gaon,Village,,1,4.1,0,TRUE,,Cultural,TRUE,0.01,Morning
Central,Uttar Pradesh,Mathura,Barsana Mandir,Temple,,1,4.8,0,TRUE,,Religious,TRUE,0.1,Morning
Eastern,West Bengal,Darjeeling,Tiger Hill,Sunrise Point,,1,4.5,0,FALSE,,Nature,TRUE,0.025,All
Eastern,West Bengal,Siliguri,Jaldapara National Park,Wildlife Sanctuary,1941,3,4.4,250,TRUE,,Wildlife,TRUE,0.035,All
Eastern,West Bengal,Sundarbans,Sundarbans National Park,National Park,1984,4,4.4,60,FALSE,,Wildlife,TRUE,0.065,All
Eastern,West Bengal,Digha,Digha Beach,Beach,,1.5,4.5,0,FALSE,,Recreational,TRUE,0.09,Morning
Eastern,West Bengal,Murshidabad,Hazarduari Palace,Palace,1837,1.5,4.5,10,TRUE,Friday,Historical,TRUE,0.18,Morning
Eastern,West Bengal,Bolpur,Kankalitala Temple,Temple,,0.5,4.7,0,TRUE,,Religious,FALSE,0.045,All
Eastern,West Bengal,Hooghly,Hangseswari Temple,Temple,1814,0.5,4.6,0,TRUE,,Architectural,FALSE,0.07,All
Eastern,West Bengal,Jalpaiguri,Gorumara National Park,National Park,1949,3,4.4,100,TRUE,,Wildlife,TRUE,0.07,All
Eastern,West Bengal,Cooch Behar,Cooch Behar Palace,Palace,1887,1,4.5,20,TRUE,Friday,Historical,TRUE,0.09,All
Eastern,West Bengal,Purulia,Ayodhya Hills,Hill,,2.5,4.5,0,FALSE,,Nature,TRUE,0.15,All
Eastern,Odisha,Puri,Jagannath Temple,Temple,,2,4.7,0,TRUE,,Religious,FALSE,1,All
Eastern,Odisha,Konark,Sun Temple,Temple,1250,1.5,4.7,40,TRUE,,Historical,TRUE,0.83,All
Eastern,Odisha,Bhubaneswar,Lingaraj Temple,Temple,,1,4.6,0,TRUE,,Religious,FALSE,0.35,All
Eastern,Odisha,Rourkela,Khandadhar Waterfall,Waterfall,,1.5,4.5,0,FALSE,,Nature,TRUE,1.2,All
Eastern,Odisha,Cuttack,Barabati Fort,Fort,-987,1,4.5,0,TRUE,,Historical,TRUE,0.13,All
Eastern,Odisha,Sambalpur,Hirakud Dam,Dam,1957,1,4.5,0,FALSE,,Engineering Marvel,TRUE,0.01,All
Eastern,Odisha,Chilika,Chilika Lake,Lake,,2,3.9,0,TRUE,,Nature,TRUE,0.1,Morning
Eastern,Odisha,Berhampur,Tara Tarini Temple,Temple,,1,4.6,0,TRUE,,Religious,FALSE,0.01,All
Eastern,Odisha,Keonjhar,Badaghagara Waterfall,Waterfall,,1,4.3,0,FALSE,,Nature,TRUE,0.018,Morning
Eastern,Odisha,Balasore,Chandipur Beach,Beach,,1.5,4.2,0,TRUE,,Recreational,TRUE,0.014,Morning
Eastern,Odisha,Kendujhar,Sanaghagara Waterfall,Waterfall,,1,4.4,0,FALSE,,Nature,TRUE,0.055,All
Southern,Tamil Nadu,Chennai,Marina Beach,Beach,,1.5,3.9,0,TRUE,,Recreational,TRUE,0.1,Morning
Southern,Tamil Nadu,Madurai,Meenakshi Amman Temple,Temple,,2,4.7,0,TRUE,,Religious,FALSE,0.65,All
Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,,1.5,4.6,0,FALSE,,Religious,FALSE,0.01,All
Southern,Tamil Nadu,Kanyakumari,Vivekananda Rock Memorial,Memorial,1970,1,4.6,20,TRUE,,Historical,FALSE,0.47,Morning
Southern,Tamil Nadu,Ooty,Ooty Lake,Lake,1824,1,4.1,10,TRUE,,Recreational,TRUE,0.61,Morning
Southern,Tamil Nadu,Coimbatore,Marudamalai Temple,Temple,,1,4.7,0,TRUE,,Religious,FALSE,0.3,All
Southern,Tamil Nadu,Kodaikanal,Kodaikanal Lake,Lake,1863,2,3.9,0,FALSE,,Recreational,TRUE,0.1,Morning
Southern,Tamil Nadu,Thanjavur,Brihadeeswarar Temple,Temple,110,1.5,4.8,0,TRUE,,Religious,FALSE,0.35,All
Southern,Tamil Nadu,Mahabalipuram,Shore Temple,Temple,,1,4.6,40,TRUE,,Historical,FALSE,0.09,All
Southern,Tamil Nadu,Yercaud,Yercaud Lake,Lake,,1,4.2,0,FALSE,,Recreational,TRUE,0.019,Morning
Southern,Tamil Nadu,Tirunelveli,Nellaiappar Temple,Temple,,1,4.6,0,TRUE,,Religious,FALSE,0.16,All
Southern,Tamil Nadu,Chidambaram,Nataraja Temple,Temple,,1,4.7,0,TRUE,,Religious,FALSE,0.28,All
Southern,Andhra Pradesh,Vijayawada,Kanaka Durga Temple,Temple,,1,4.7,0,TRUE,,Religious,FALSE,0.44,All
Southern,Andhra Pradesh,Visakhapatnam,Rishikonda Beach,Beach,,1.5,4.5,0,TRUE,,Recreational,TRUE,0.39,Morning
Southern,Andhra Pradesh,Srisailam,Mallikarjuna Swamy Temple,Temple,,1,4.7,0,FALSE,,Religious,FALSE,0.49,All
Southern,Andhra Pradesh,Rajahmundry,Papikondalu,Hill,,2,4.3,0,TRUE,,Nature,TRUE,0.032,All
Southern,Andhra Pradesh,Anantapur,Lepakshi,Site,,1.5,4.6,0,FALSE,,Historical,TRUE,0.075,All
Southern,Andhra Pradesh,Kurnool,Belum Caves,Cave,,1.5,4.4,65,TRUE,,Natural Wonder,TRUE,0.11,Afternoon
Southern,Andhra Pradesh,Amravati,Amaravathi Temple,Temple,,1,4.7,0,TRUE,,Religious,FALSE,0.041,All
Southern,Andhra Pradesh,Guntur,Uppalapadu Bird Sanctuary,Bird Sanctuary,,1,4.4,10,TRUE,,Wildlife,TRUE,0.7,All
Southern,Andhra Pradesh,Kadapa,Gandikota Fort,Fort,,1.5,4.5,0,FALSE,,Historical,TRUE,0.015,Morning
Southern,Andhra Pradesh,Puttaparthi,Prasanthi Nilayam,Spiritual Center,1950,1,4.7,0,TRUE,,Religious,TRUE,0.12,All
Southern,Andhra Pradesh,Vizianagaram,Simhachalam Temple,Temple,198,1,4.7,0,TRUE,,Religious,FALSE,0.59,All
Southern,Andhra Pradesh,Visakhapatnam,Kailasagiri,Hill,,2,4.5,0,TRUE,,Recreational,TRUE,0.019,All
Southern,Andhra Pradesh,Visakhapatnam,Submarine Museum,Museum,22,1,4.6,40,TRUE,,Historical,TRUE,0.49,All
Southern,Andhra Pradesh,Visakhapatnam,Borra Caves,Cave,,2,4.5,60,FALSE,,Natural Wonder,TRUE,0.31,Afternoon
Southern,Andhra Pradesh,Visakhapatnam,War Memorial,War Memorial,,1,4.6,0,TRUE,,Historical,TRUE,0.059,All
Southern,Andhra Pradesh,Visakhapatnam,Indira Gandhi Zoological Park,Zoo,1977,2,4.1,20,TRUE,Monday,Wildlife,TRUE,0.25,Afternoon
Southern,Andhra Pradesh,Visakhapatnam,Matsyadarshini Aquarium,Aquarium,,1,3.8,20,TRUE,,Recreational,TRUE,0.03,All
Southern,Andhra Pradesh,Visakhapatnam,Visakha Museum,Museum,1991,1,4.3,10,TRUE,,Cultural,TRUE,0.065,All
Eastern,Sikkim,Gangtok,Nathula Pass,Hill,,2,4.3,20,TRUE,,Historical,TRUE,0.15,Afternoon
Eastern,Sikkim,Pelling,Pemayangtse Monastery,Monastery,1705,1,4.6,20,FALSE,,Religious,FALSE,0.015,Morning
Eastern,Sikkim,Namchi,Char Dham,Religious Complex,211,2,4.7,50,TRUE,,Religious,FALSE,0.12,All
Eastern,Sikkim,Gangtok,Rumtek Monastery,Monastery,,1,4.6,10,TRUE,,Religious,FALSE,0.035,Morning
Eastern,Sikkim,Ravangla,Buddha Park,Park,213,1,4.8,50,TRUE,,Cultural,TRUE,0.1,All
Eastern,Sikkim,Gangtok,Baba Harbhajan Singh Temple,Temple,1967,1,4.7,0,TRUE,,Religious,FALSE,0.075,All
Eastern,Sikkim,Gangtok,Tsomgo Lake,Lake,,2,4.5,0,TRUE,,Nature,TRUE,0.15,Morning
North Eastern,Assam,Guwahati,Kamakhya Temple,Temple,,2,4.6,0,TRUE,,Religious,FALSE,0.21,All
North Eastern,Assam,Kaziranga,Kaziranga National Park,National Park,1905,3,4.5,650,FALSE,,Wildlife,FALSE,0.068,Morning
North Eastern,Assam,Guwahati,Umananda Island,Island,,1,4.1,0,TRUE,,Nature,TRUE,0.01,Morning
North Eastern,Assam,Sivasagar,Sivasagar Sivadol,Temple,1734,1,4.7,0,FALSE,,Historical,TRUE,0.065,All
North Eastern,Assam,Majuli,Majuli Island,River Island,,2,4.7,0,FALSE,,Cultural,TRUE,0.01,Morning
North Eastern,Assam,Manas,Manas National Park,National Park,1990,3,4.6,500,FALSE,,Wildlife,TRUE,0.19,Morning
North Eastern,Assam,Hajo,Hayagriva Madhava Temple,Temple,,1,4.5,0,FALSE,,Religious,TRUE,0.9,All
North Eastern,Assam,Guwahati,Pobitora Wildlife Sanctuary,Wildlife Sanctuary,1987,2,4.4,500,TRUE,,Wildlife,TRUE,0.037,All
North Eastern,Arunachal Pradesh,Tawang,Tawang Monastery,Monastery,1680,2,4.7,0,FALSE,,Religious,FALSE,0.032,Morning
North Eastern,Tripura,Agartala,Ujjayanta Palace,Palace,1901,1.5,4.5,10,TRUE,Monday,Historical,TRUE,0.035,All
North Eastern,Tripura,Dumboor,Dumboor Lake,Lake,,1,4.5,0,FALSE,,Nature,TRUE,0.01,Morning
North Eastern,Tripura,Unakoti,Unakoti Rock Carvings,Rock Carvings,700,1.5,4.5,20,FALSE,,Historical,TRUE,0.025,Morning
Central,Chhattisgarh,Bastar,Chitrakote Falls,Waterfall,,1.5,4.6,0,FALSE,,Nature,TRUE,0.19,Morning
North Eastern,Nagaland,Dzükou Valley,Dzükou Valley,Valley,,3,4.7,0,FALSE,,Trekking,TRUE,0.01,Afternoon
Southern,Puducherry,Puducherry,Promenade Beach,Beach,,1,4.5,0,TRUE,,Recreational,TRUE,0.09,Morning
Southern,Puducherry,Auroville,Auroville,Township,1968,2,4.1,0,TRUE,,Cultural,TRUE,0.035,All
Southern,Puducherry,Puducherry,Paradise Beach,Beach,,1,4.5,200,TRUE,,Recreational,TRUE,0.015,Morning
Southern,Andaman and Nicobar Islands,Port Blair,Cellular Jail,Landmark,1906,1.5,4.7,30,TRUE,Monday,Historical,TRUE,0.12,Afternoon
Southern,Andaman and Nicobar Islands,Havelock Island,Radhanagar Beach,Beach,,1,4.8,0,FALSE,,Nature,TRUE,0.09,Morning
Southern,Andaman and Nicobar Islands,Neil Island,Bharatpur Beach,Beach,,1,4.5,0,FALSE,,Nature,TRUE,0.04,Morning
Southern,Andaman and Nicobar Islands,Baratang Island,Limestone Caves,Natural Feature,,1.5,4.4,250,FALSE,,Nature,TRUE,0.015,Morning
Western,Daman and Diu,Diu,Naida Caves,Cave,,1,4.5,0,FALSE,,Nature,TRUE,0.6,Afternoon
Western,Daman and Diu,Diu,Diu Fort,Fort,1535,1.5,4.6,0,FALSE,,Historical,TRUE,1.2,Afternoon
Eastern,Jharkhand,Deoghar,Baba Baidyanath Temple,Temple,,1,4.7,0,TRUE,,Religious,TRUE,1.8,All
Eastern,Jharkhand,Ranchi,Pahari Mandir,Temple,,1,4.6,0,TRUE,,Religious,TRUE,0.13,All
Eastern,Bihar,Bodh Gaya,Mahabodhi Temple,Temple,-260,1.5,4.7,0,TRUE,,Religious,TRUE,0.2,All
Eastern,Bihar,Patna,Sanjay Gandhi Biological Park,Zoo,,2.5,4.3,30,TRUE,,Wildlife,TRUE,0.5,All
Eastern,Bihar,Patna,Takhat Shri Harimandir Ji Patna Sahib,Gurudwara,,1,4.7,0,TRUE,,Religious,TRUE,0.25,All
Eastern,Bihar,Patna,Budhha Smriti Park,Park,,1,4.4,10,TRUE,,Cultural,TRUE,0.31,All
Northern,Haryana,Gurugram,Kingdom of Dreams,Entertainment,2010,3,4.4,1100,TRUE,Monday,Entertainment,TRUE,0.3,Afternoon
Northern,Haryana,Gurugram,Ambience Mall,Mall,,2,4.6,0,TRUE,,Shopping,TRUE,1.2,Afternoon
Northern,Haryana,Gurugram,DLF CyberHub,Commercial Complex,,2,4.7,0,TRUE,,Entertainment,TRUE,0.71,Afternoon
Northern,Delhi,New Delhi,Gurudwara Bangla Sahib,Gurudwara,,1,4.8,0,TRUE,,Religious,TRUE,1.05,All
Northern,Uttarakhand,Kedarnath,Kedarnath,Temple,,1.5,4.8,0,FALSE,,Religious,FALSE,2,All
Central,Uttar Pradesh,Noida,DLF Mall of India,Mall,2016,2,4.6,0,TRUE,,Shopping,TRUE,1.5,All
Central,Uttar Pradesh,Greater Noida,The Grand Venice Mall,Mall,,2,4.2,0,TRUE,,Shopping,TRUE,0.45,All
Southern,Karnataka,Bengaluru,Wonderla Amusement Park,Amusement Park,2005,4,4.5,890,TRUE,,Entertainment,TRUE,0.95,All
Eastern,Odisha,Bhubaneswar,Nandankanan Zoological Park,Zoo,1960,3,4.4,50,TRUE,Monday,Wildlife,TRUE,0.81,Afternoon
Southern,Karnataka,Bengaluru,Orion Mall,Mall,2012,2,4.5,0,TRUE,,Shopping,TRUE,1.8,All
Southern,Telangana,Hyderabad,Inorbit Mall Cyberabad,Mall,2004,2,4.5,0,TRUE,,Shopping,TRUE,1.2,All
Northern,Delhi,New Delhi,Jama Masjid,Mosque,1656,1,4.5,0,TRUE,,Historical,TRUE,0.49,All
Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,,1.5,4.7,0,TRUE,,Religious,FALSE,0.1,All
Central,Uttar Pradesh,Greater Noida,Buddh International Circuit,Race Track,2011,2,4.6,1500,TRUE,Sunday,Sports,TRUE,7.4,All
Central,Uttar Pradesh,Lucknow,Phoenix Palassio,Mall,2020,2,4.6,0,TRUE,,Shopping,TRUE,0.35,All
Southern,Kerala,Kochi,LuLu International Shopping Mall,Mall,2013,3,4.6,0,TRUE,,Shopping,TRUE,1.9,All
Northern,Delhi,New Delhi,Rail Museum,Museum,1977,2,4.4,50,TRUE,Monday,Cultural,TRUE,0.24,Morning
North Eastern,Meghalaya,Cherrapunji,Living Root Bridge,Natural Feature,,2,4.6,0,FALSE,,Nature,TRUE,0.06,Morning
Western,Gujarat,Gandhinagar,Akshardham,Temple,1992,3,4.6,0,TRUE,Monday,Religious,FALSE,0.18,All
Central,Uttar Pradesh,Agra,Agra Fort,Fort,1565,2,4.5,40,TRUE,,Historical,TRUE,1.3,Afternoon
Central,Madhya Pradesh,Bhopal,Madhya Pradesh Tribal Museum,Museum,2013,2,4.7,10,TRUE,Monday,Cultural,TRUE,0.15,All
Northern,Rajasthan,Jaipur,City Palace,Palace,1727,2,4.4,200,TRUE,,Historical,TRUE,0.51,Morning
Northern,Rajasthan,Jaipur,Albert Hall Museum,Museum,1887,2,4.5,200,TRUE,,Historical,TRUE,0.63,All
